disk,capacity,type,node
sda,1.8T,WD2000FYYZ-23UL,c14.4
sdb,1.8T,WD2000FYYZ-23UL,c14.4
sdc,1.8T,WD2000FYYZ-23UL,c14.4
sdd,1.8T,WD2000FYYZ-23UL,c14.4
sde,1.8T,WD2000FYYZ-23UL,c14.4
sdf,1.8T,WD2000FYYZ-23UL,c14.4
sdg,1.8T,WD2000FYYZ-23UL,c14.4
sdh,1.8T,WD2000FYYZ-23UL,c14.4
sdi,1.8T,WD2000FYYZ-23UL,c14.4
sdj,1.8T,WD2000FYYZ-23UL,c14.4
sdk,1.8T,WD2000FYYZ-23UL,c14.4
sdl,1.8T,WD2000FYYZ-23UL,c14.4
sda,1.8T,WD2000FYYZ-23UL,c14.7
sdb,1.8T,WD2000FYYZ-23UL,c14.7
sdc,1.8T,WD2000FYYZ-23UL,c14.7
sdd,1.8T,WD2000FYYZ-23UL,c14.7
sde,1.8T,WD2000FYYZ-23UL,c14.7
sdf,1.8T,WD2000FYYZ-23UL,c14.7
sdg,1.8T,WD2000FYYZ-23UL,c14.7
sdh,1.8T,WD2000FYYZ-23UL,c14.7
sdi,1.8T,WD2000FYYZ-23UL,c14.7
sdj,1.8T,WD2000FYYZ-23UL,c14.7
sdk,1.8T,WD2000FYYZ-23UL,c14.7
sdl,1.8T,WD2000FYYZ-23UL,c14.7
sda,1.8T,WD2000FYYZ-23UL,c14.12
sdb,1.8T,WD2000FYYZ-23UL,c14.12
sdc,1.8T,WD2000FYYZ-23UL,c14.12
sdd,1.8T,WD2000FYYZ-23UL,c14.12
sde,1.8T,WD2000FYYZ-23UL,c14.12
sdf,1.8T,WD2000FYYZ-23UL,c14.12
sdg,1.8T,WD2000FYYZ-23UL,c14.12
sdh,1.8T,WD2000FYYZ-23UL,c14.12
sdi,1.8T,WD2000FYYZ-23UL,c14.12
sdj,1.8T,WD2000FYYZ-23UL,c14.12
sdk,1.8T,WD2000FYYZ-23UL,c14.12
sdl,1.8T,WD2000FYYZ-23UL,c14.12
sda,1.8T,WD2000FYYZ-23UL,c14.13
sdb,1.8T,WD2000FYYZ-23UL,c14.13
sdc,1.8T,WD2000FYYZ-23UL,c14.13
sdd,1.8T,WD2000FYYZ-23UL,c14.13
sde,1.8T,WD2000FYYZ-23UL,c14.13
sdf,1.8T,WD2000FYYZ-23UL,c14.13
sdg,1.8T,WD2000FYYZ-23UL,c14.13
sdh,1.8T,WD2000FYYZ-23UL,c14.13
sdi,1.8T,WD2000FYYZ-23UL,c14.13
sdj,1.8T,WD2000FYYZ-23UL,c14.13
sdk,1.8T,WD2000FYYZ-23UL,c14.13
sdl,1.8T,WD2000FYYZ-23UL,c14.13
sda,1.8T,WD2000FYYZ-23UL,c13.6
sdb,1.8T,WD2000FYYZ-23UL,c13.6
sdc,1.8T,WD2000FYYZ-23UL,c13.6
sdd,1.8T,WD2000FYYZ-23UL,c13.6
sde,1.8T,WD2000FYYZ-23UL,c13.6
