replaced,node,disk
1520290800,c14.10.bd.cluster.cesga.es,sde
1525039200,c14.4.bd.cluster.cesga.es,sdf
1525039200,c14.9.bd.cluster.cesga.es,sdb
1525644000,c14.10.bd.cluster.cesga.es,sdf
1528927200,c13.15.node.int.cesga.es,sdb
1529013600,c13.14.node.int.cesga.es,sdd
1528754400,c14.1.bd.cluster.cesga.es,sdj
1531432800,c13.13.node.int.cesga.es,sdg
1532728800,c14.3.bd.cluster.cesga.es,sdl
1532815200,c14.6.bd.cluster.cesga.es,sdh
1532901600,c14.9.bd.cluster.cesga.es,sde
1543878000,c13.13.node.int.cesga.es,sdj
1543878000,c13.13.node.int.cesga.es,sdb
1544569200,c13.7.node.int.cesga.es,sdf
1545001200,c14.8.bd.cluster.cesga.es,sde
1545001200,c14.12.bd.cluster.cesga.es,sdj
1545260400,c14.11.bd.cluster.cesga.es,sdl
1545606000,c14.12.bd.cluster.cesga.es,sde
1545865200,c14.5.bd.cluster.cesga.es,sdj
1545865200,c14.14.bd.cluster.cesga.es,sdd
1545865200,c14.4.bd.cluster.cesga.es,sdl
1545865200,c14.6.bd.cluster.cesga.es,sdk
1545951600,c14.5.bd.cluster.cesga.es,sdk
1545865200,c14.17.bd.cluster.cesga.es,sdf
1547420400,c14.4.bd.cluster.cesga.es,sdl
1552258800,c14.1.bd.cluster.cesga.es,sdc
1561932000,c13.17.node.int.cesga.es,sda
1562191200,c14.9.bd.cluster.cesga.es,sdd
1562191200,c14.16.bd.cluster.cesga.es,sdh
1567980000,c13.16.node.int.cesga.es,sdi
1568671200,c13.11.node.int.cesga.es,sdl
1571781600,c13.17.node.int.cesga.es,sda
1571781600,c13.17.node.int.cesga.es,sdg
1572390000,c13.15.node.int.cesga.es,sdk
1585778400,c13.1.bd.cluster.cesga.es,sdb
1585778400,c13.1.bd.cluster.cesga.es,sde
1585778400,c13.2.node.int.cesga.es,sdb
1585778400,c13.2.node.int.cesga.es,sdh
1585778400,c13.3.node.int.cesga.es,sdc
1585778400,c13.3.node.int.cesga.es,sdj
1585778400,c13.4.bd.cluster.cesga.es,sda
1585778400,c13.4.bd.cluster.cesga.es,sde
1586124000,c14.5.bd.cluster.cesga.es,sdg
1586210400,c13.12.node.int.cesga.es,sdh
1592776800,c13.10.node.int.cesga.es,sdh
1592863200,c13.9.node.int.cesga.es,sdk
1593640800,c14.11.bd.cluster.cesga.es,sda
1594072800,c13.2.node.int.cesga.es,sdh
1594332000,c13.9.node.int.cesga.es,sda
1594591200,c14.6.bd.cluster.cesga.es,sdk
1594936800,c13.14.node.int.cesga.es,sda
1595455200,c14.6.bd.cluster.cesga.es,sdi
1595541600,c14.5.bd.cluster.cesga.es,sde
1595800800,c14.14.bd.cluster.cesga.es,sde
1597010400,c14.10.bd.cluster.cesga.es,sdd
1604962800,c14.10.bd.cluster.cesga.es,sdd
1607900400,c14.2.bd.cluster.cesga.es,sdd
1607900400,c13.14.node.int.cesga.es,sde
1607986800,c13.14.node.int.cesga.es,sdk
1608159600,c13.1.bd.cluster.cesga.es,sdb
1608159600,c13.7.node.int.cesga.es,sdb
1608159600,c14.15.bd.cluster.cesga.es,sdk
1608159600,c14.8.bd.cluster.cesga.es,sdk
1612220400,c14.7.bd.cluster.cesga.es,sda
1616108400,c13.5.node.int.cesga.es,sda
1616108400,c13.10.node.int.cesga.es,sdi
1616108400,c13.5.node.int.cesga.es,sdb
