node,disk,timestamp
c14.10,sde,2018-03-06 00:00:00
c14.4,sdf,2018-04-30 00:00:00
c14.9,sdb,2018-04-30 00:00:00
c14.10,sdf,2018-05-07 00:00:00
c13.15,sdb,2018-06-14 00:00:00
c13.14,sdd,2018-06-15 00:00:00
c14.1,sdj,2018-06-12 00:00:00
c13.13,sdg,2018-07-13 00:00:00
c14.3,sdl,2018-07-28 00:00:00
c14.6,sdh,2018-07-29 00:00:00
c14.9,sde,2018-07-30 00:00:00
c13.13,sdj,2018-12-04 00:00:00
c13.13,sdb,2018-12-04 00:00:00
c13.7,sdf,2018-12-12 00:00:00
c14.8,sde,2018-12-17 00:00:00
c14.12,sdj,2018-12-17 00:00:00
c14.11,sdl,2018-12-20 00:00:00
c14.12,sde,2018-12-24 00:00:00
c14.5,sdj,2018-12-27 00:00:00
c14.14,sdd,2018-12-27 00:00:00
c14.4,sdl,2018-12-27 00:00:00
c14.6,sdk,2018-12-27 00:00:00
c14.5,sdk,2018-12-28 00:00:00
c14.17,sdf,2018-12-27 00:00:00
c14.4,sdl,2019-01-14 00:00:00
c14.1,sdc,2019-03-11 00:00:00
c13.17,sda,2019-07-01 00:00:00
c14.9,sdd,2019-07-04 00:00:00
c14.16,sdh,2019-07-04 00:00:00
c13.16,sdi,2019-09-09 00:00:00
c13.11,sdl,2019-09-17 00:00:00
c13.17,sda,2019-10-23 00:00:00
c13.17,sdg,2019-10-23 00:00:00
c13.15,sdk,2019-10-30 00:00:00
c13.1,sdb,2020-04-02 00:00:00
c13.1,sde,2020-04-02 00:00:00
c13.2,sdb,2020-04-02 00:00:00
c13.2,sdh,2020-04-02 00:00:00
c13.3,sdc,2020-04-02 00:00:00
c13.3,sdj,2020-04-02 00:00:00
c13.4,sda,2020-04-02 00:00:00
c13.4,sde,2020-04-02 00:00:00
c14.5,sdg,2020-04-06 00:00:00
c13.12,sdh,2020-04-07 00:00:00
c13.10,sdh,2020-06-22 00:00:00
c13.9,sdk,2020-06-23 00:00:00
c14.11,sda,2020-07-02 00:00:00
c13.2,sdh,2020-07-07 00:00:00
c13.9,sda,2020-07-10 00:00:00
c14.6,sdk,2020-07-13 00:00:00
c13.14,sda,2020-07-17 00:00:00
c14.6,sdi,2020-07-23 00:00:00
c14.5,sde,2020-07-24 00:00:00
c14.14,sde,2020-07-27 00:00:00
c14.10,sdd,2020-08-10 00:00:00
c14.10,sdd,2020-11-10 00:00:00
c14.2,sdd,2020-12-14 00:00:00
c13.14,sde,2020-12-14 00:00:00
c13.14,sdk,2020-12-15 00:00:00
c13.1,sdb,2020-12-17 00:00:00
c13.7,sdb,2020-12-17 00:00:00
c14.15,sdk,2020-12-17 00:00:00
c14.8,sdk,2020-12-17 00:00:00
c14.7,sda,2021-02-02 00:00:00
c13.5,sda,2021-03-19 00:00:00
c13.10,sdi,2021-03-19 00:00:00
c13.5,sdb,2021-03-19 00:00:00
